T:5.339	nS:9922	nE:21	nI:20	nR:36	nF:1	node:[9933]	E -> I
T:5.401	nS:9922	nE:20	nI:21	nR:36	nF:1	node:[376]	I -> R
T:5.626	nS:9922	nE:20	nI:20	nR:37	nF:1	node:[6131]	E -> I
T:5.905	nS:9922	nE:19	nI:21	nR:37	nF:1	node:[4929]	E -> I
T:5.940	nS:9922	nE:18	nI:22	nR:37	nF:1	node:[5586]	S -> E
T:6.119	nS:9921	nE:19	nI:22	nR:37	nF:1	node:[5231]	S -> E
T:6.121	nS:9920	nE:20	nI:22	nR:37	nF:1	node:[6699]	S -> E
T:6.202	nS:9919	nE:21	nI:22	nR:37	nF:1	node:[5586]	E -> I
T:6.275	nS:9919	nE:20	nI:23	nR:37	nF:1	node:[2897]	I -> R
T:6.381	nS:9919	nE:20	nI:22	nR:38	nF:1	node:[4929]	I -> R
T:6.495	nS:9919	nE:20	nI:21	nR:39	nF:1	node:[5739]	I -> R
T:6.594	nS:9919	nE:20	nI:20	nR:40	nF:1	node:[5049]	S -> E
T:6.714	nS:9918	nE:21	nI:20	nR:40	nF:1	node:[6712]	S -> E
T:6.767	nS:9917	nE:22	nI:20	nR:40	nF:1	node:[5049]	E -> I
T:6.813	nS:9917	nE:21	nI:21	nR:40	nF:1	node:[9628]	I -> R
T:6.906	nS:9917	nE:21	nI:20	nR:41	nF:1	node:[6036]	I -> R
T:6.945	nS:9917	nE:21	nI:19	nR:42	nF:1	node:[1013]	E -> I
T:7.087	nS:9917	nE:20	nI:20	nR:42	nF:1	node:[4487]	E -> I
T:7.096	nS:9917	nE:19	nI:21	nR:42	nF:1	node:[2109]	E -> I
T:7.361	nS:9917	nE:18	nI:22	nR:42	nF:1	node:[1716]	E -> I
T:7.370	nS:9917	nE:17	nI:23	nR:42	nF:1	node:[2243]	E -> I
T:7.383	nS:9917	nE:16	nI:24	nR:42	nF:1	node:[9901]	S -> E
T:7.390	nS:9916	nE:17	nI:24	nR:42	nF:1	node:[6030]	I -> R
T:7.391	nS:9916	nE:17	nI:23	nR:43	nF:1	node:[3467]	E -> I
T:7.450	nS:9916	nE:16	nI:24	nR:43	nF:1	node:[1013]	I -> R
T:7.461	nS:9916	nE:16	nI:23	nR:44	nF:1	node:[5586]	I -> R
T:7.524	nS:9916	nE:16	nI:22	nR:45	nF:1	node:[6712]	E -> I
T:7.528	nS:9916	nE:15	nI:23	nR:45	nF:1	node:[6172]	I -> R
T:7.790	nS:9916	nE:15	nI:22	nR:46	nF:1	node:[1215]	S -> E
T:7.971	nS:9915	nE:16	nI:22	nR:46	nF:1	node:[2109]	I -> R
T:8.079	nS:9915	nE:16	nI:21	nR:47	nF:1	node:[6699]	E -> I
T:8.381	nS:9915	nE:15	nI:22	nR:47	nF:1	node:[2442]	I -> R
T:8.507	nS:9915	nE:15	nI:21	nR:48	nF:1	node:[537]	I -> R
T:8.625	nS:9915	nE:15	nI:20	nR:49	nF:1	node:[6699]	I -> R
T:8.948	nS:9915	nE:15	nI:19	nR:50	nF:1	node:[1563]	S -> E
T:9.102	nS:9914	nE:16	nI:19	nR:50	nF:1	node:[9225]	I -> R
T:9.116	nS:9914	nE:16	nI:18	nR:51	nF:1	node:[9366]	E -> I
