T:0.704	nS:9812	nE:34	nI:131	nP:0	nR:23	nF:0	node:[7652]	S -> E
T:0.713	nS:9811	nE:35	nI:131	nP:0	nR:23	nF:0	node:[6947]	S -> E
T:0.715	nS:9810	nE:36	nI:131	nP:0	nR:23	nF:0	node:[4182]	I -> R
T:0.723	nS:9810	nE:36	nI:130	nP:0	nR:24	nF:0	node:[3991]	E -> I
T:0.740	nS:9810	nE:35	nI:131	nP:0	nR:24	nF:0	node:[6299]	E -> I
T:0.760	nS:9810	nE:34	nI:132	nP:0	nR:24	nF:0	node:[145]	S -> E
T:0.761	nS:9809	nE:35	nI:132	nP:0	nR:24	nF:0	node:[2659]	I -> R
T:0.762	nS:9809	nE:35	nI:131	nP:0	nR:25	nF:0	node:[7700]	S -> E
T:0.770	nS:9808	nE:36	nI:131	nP:0	nR:25	nF:0	node:[7686]	S -> E
T:0.780	nS:9807	nE:37	nI:131	nP:0	nR:25	nF:0	node:[7462]	S -> E
T:0.783	nS:9806	nE:38	nI:131	nP:0	nR:25	nF:0	node:[2475]	S -> E
T:0.805	nS:9805	nE:39	nI:131	nP:0	nR:25	nF:0	node:[8625]	S -> E
T:0.817	nS:9804	nE:40	nI:131	nP:0	nR:25	nF:0	node:[2488]	S -> E
T:0.840	nS:9803	nE:41	nI:131	nP:0	nR:25	nF:0	node:[1451]	S -> E
T:0.841	nS:9802	nE:42	nI:131	nP:0	nR:25	nF:0	node:[3224]	I -> R
T:0.842	nS:9802	nE:42	nI:130	nP:0	nR:26	nF:0	node:[6816]	S -> E
T:0.851	nS:9801	nE:43	nI:130	nP:0	nR:26	nF:0	node:[755]	I -> R
T:0.892	nS:9801	nE:43	nI:129	nP:0	nR:27	nF:0	node:[2418]	I -> R
T:0.944	nS:9801	nE:43	nI:128	nP:0	nR:28	nF:0	node:[3718]	S -> E
T:0.952	nS:9800	nE:44	nI:128	nP:0	nR:28	nF:0	node:[9111]	S -> E
T:0.979	nS:9799	nE:45	nI:128	nP:0	nR:28	nF:0	node:[5531]	I -> R
T:1.000	nS:9799	nE:45	nI:127	nP:0	nR:29	nF:0	node:[1349]	S -> E
T:1.027	nS:9798	nE:46	nI:127	nP:0	nR:29	nF:0	node:[8372]	I -> R
T:1.027	nS:9798	nE:46	nI:126	nP:0	nR:30	nF:0	node:[973]	I -> R
T:1.031	nS:9798	nE:46	nI:125	nP:0	nR:31	nF:0	node:[1885]	S -> E
T:1.040	nS:9797	nE:47	nI:125	nP:0	nR:31	nF:0	node:[8750]	S -> E
T:1.042	nS:9796	nE:48	nI:125	nP:0	nR:31	nF:0	node:[6925]	E -> I
T:1.048	nS:9796	nE:47	nI:126	nP:0	nR:31	nF:0	node:[1480]	S -> E
T:1.081	nS:9795	nE:48	nI:126	nP:0	nR:31	nF:0	node:[3832]	S -> E
T:1.083	nS:9794	nE:49	nI:126	nP:0	nR:31	nF:0	node:[8476]	S -> E
T:1.088	nS:9793	nE:50	nI:126	nP:0	nR:31	nF:0	node:[510]	S -> E
T:1.094	nS:9792	nE:51	nI:126	nP:0	nR:31	nF:0	node:[6164]	S -> E
T:1.102	nS:9791	nE:52	nI:126	nP:0	nR:31	nF:0	node:[4020]	S -> E
T:1.113	nS:9790	nE:53	nI:126	nP:0	nR:31	nF:0	node:[5124]	S -> E
T:1.115	nS:9789	nE:54	nI:126	nP:0	nR:31	nF:0	node:[3221]	E -> I
T:1.126	nS:9789	nE:53	nI:127	nP:0	nR:31	nF:0	node:[3221]	I -> R
T:1.157	nS:9789	nE:53	nI:126	nP:0	nR:32	nF:0	node:[6283]	S -> E
T:1.162	nS:9788	nE:54	nI:126	nP:0	nR:32	nF:0	node:[5072]	I -> R
T:1.170	nS:9788	nE:54	nI:125	nP:0	nR:33	nF:0	node:[3918]	I -> R
T:1.173	nS:9788	nE:54	nI:124	nP:0	nR:34	nF:0	node:[9008]	I -> R
T:1.185	nS:9788	nE:54	nI:123	nP:0	nR:35	nF:0	node:[1152]	I -> R
T:1.194	nS:9788	nE:54	nI:122	nP:0	nR:36	nF:0	node:[4276]	S -> E
T:1.205	nS:9787	nE:55	nI:122	nP:0	nR:36	nF:0	node:[6921]	I -> R
T:1.230	nS:9787	nE:55	nI:121	nP:0	nR:37	nF:0	node:[3770]	S -> E
T:1.238	nS:9786	nE:56	nI:121	nP:0	nR:37	nF:0	node:[5978]	S -> E
T:1.249	nS:9785	nE:57	nI:121	nP:0	nR:37	nF:0	node:[1853]	S -> E
T:1.255	nS:9784	nE:58	nI:121	nP:0	nR:37	nF:0	node:[6267]	S -> E
T:1.268	nS:9783	nE:59	nI:121	nP:0	nR:37	nF:0	node:[2934]	I -> R
T:1.276	nS:9783	nE:59	nI:120	nP:0	nR:38	nF:0	node:[6521]	I -> R
T:1.288	nS:9783	nE:59	nI:119	nP:0	nR:39	nF:0	node:[9463]	S -> E
T:1.307	nS:9782	nE:60	nI:119	nP:0	nR:39	nF:0	node:[8845]	S -> E
T:1.319	nS:9781	nE:61	nI:119	nP:0	nR:39	nF:0	node:[2512]	S -> E
T:1.342	nS:9780	nE:62	nI:119	nP:0	nR:39	nF:0	node:[8625]	E -> I
T:1.348	nS:9780	nE:61	nI:120	nP:0	nR:39	nF:0	node:[7541]	S -> E
T:1.352	nS:9779	nE:62	nI:120	nP:0	nR:39	nF:0	node:[1673]	S -> E
T:1.353	nS:9778	nE:63	nI:120	nP:0	nR:39	nF:0	node:[325]	S -> E
T:1.353	nS:9777	nE:64	nI:120	nP:0	nR:39	nF:0	node:[4472]	S -> E
T:1.371	nS:9776	nE:65	nI:120	nP:0	nR:39	nF:0	node:[9359]	I -> R
T:1.386	nS:9776	nE:65	nI:119	nP:0	nR:40	nF:0	node:[419]	S -> E
T:1.387	nS:9775	nE:66	nI:119	nP:0	nR:40	nF:0	node:[4782]	S -> E
T:1.388	nS:9774	nE:67	nI:119	nP:0	nR:40	nF:0	node:[2488]	E -> I
T:1.401	nS:9774	nE:66	nI:120	nP:0	nR:40	nF:0	node:[2825]	S -> E
T:1.402	nS:9773	nE:67	nI:120	nP:0	nR:40	nF:0	node:[6299]	I -> R
T:1.410	nS:9773	nE:67	nI:119	nP:0	nR:41	nF:0	node:[6647]	S -> E
T:1.417	nS:9772	nE:68	nI:119	nP:0	nR:41	nF:0	node:[6687]	I -> R
T:1.422	nS:9772	nE:68	nI:118	nP:0	nR:42	nF:0	node:[9517]	S -> E
T:1.437	nS:9771	nE:69	nI:118	nP:0	nR:42	nF:0	node:[4859]	I -> R
T:1.442	nS:9771	nE:69	nI:117	nP:0	nR:43	nF:0	node:[8002]	S -> E
T:1.485	nS:9770	nE:70	nI:117	nP:0	nR:43	nF:0	node:[6255]	S -> E
T:1.493	nS:9769	nE:71	nI:117	nP:0	nR:43	nF:0	node:[7369]	S -> E
T:1.494	nS:9768	nE:72	nI:117	nP:0	nR:43	nF:0	node:[8948]	I -> R
T:1.499	nS:9768	nE:72	nI:116	nP:0	nR:44	nF:0	node:[5075]	S -> E
T:1.506	nS:9767	nE:73	nI:116	nP:0	nR:44	nF:0	node:[6798]	S -> E
T:1.523	nS:9766	nE:74	nI:116	nP:0	nR:44	nF:0	node:[8994]	I -> R
T:1.525	nS:9766	nE:74	nI:115	nP:0	nR:45	nF:0	node:[6223]	E -> I
T:1.534	nS:9766	nE:73	nI:116	nP:0	nR:45	nF:0	node:[4690]	E -> I
T:1.575	nS:9766	nE:72	nI:117	nP:0	nR:45	nF:0	node:[9514]	S -> E
T:1.575	nS:9765	nE:73	nI:117	nP:0	nR:45	nF:0	node:[2937]	I -> R
T:1.584	nS:9765	nE:73	nI:116	nP:0	nR:46	nF:0	node:[9496]	S -> E
T:1.586	nS:9764	nE:74	nI:116	nP:0	nR:46	nF:0	node:[5744]	S -> E
T:1.596	nS:9763	nE:75	nI:116	nP:0	nR:46	nF:0	node:[3718]	E -> I
T:1.607	nS:9763	nE:74	nI:117	nP:0	nR:46	nF:0	node:[2091]	S -> E
T:1.612	nS:9762	nE:75	nI:117	nP:0	nR:46	nF:0	node:[730]	S -> E
T:1.637	nS:9761	nE:76	nI:117	nP:0	nR:46	nF:0	node:[5591]	S -> E
T:1.653	nS:9760	nE:77	nI:117	nP:0	nR:46	nF:0	node:[6925]	I -> R
T:1.659	nS:9760	nE:77	nI:116	nP:0	nR:47	nF:0	node:[4204]	S -> E
T:1.665	nS:9759	nE:78	nI:116	nP:0	nR:47	nF:0	node:[5949]	S -> E
T:1.671	nS:9758	nE:79	nI:116	nP:0	nR:47	nF:0	node:[7012]	I -> R
T:1.672	nS:9758	nE:79	nI:115	nP:0	nR:48	nF:0	node:[9300]	S -> E
T:1.681	nS:9757	nE:80	nI:115	nP:0	nR:48	nF:0	node:[7785]	S -> E
T:1.700	nS:9756	nE:81	nI:115	nP:0	nR:48	nF:0	node:[9432]	S -> E
T:1.713	nS:9755	nE:82	nI:115	nP:0	nR:48	nF:0	node:[1974]	E -> I
T:1.718	nS:9755	nE:81	nI:116	nP:0	nR:48	nF:0	node:[8736]	I -> R
T:1.723	nS:9755	nE:81	nI:115	nP:0	nR:49	nF:0	node:[3507]	S -> E
T:1.724	nS:9754	nE:82	nI:115	nP:0	nR:49	nF:0	node:[7147]	S -> E
T:1.729	nS:9753	nE:83	nI:115	nP:0	nR:49	nF:0	node:[7776]	S -> E
T:1.730	nS:9752	nE:84	nI:115	nP:0	nR:49	nF:0	node:[7781]	S -> E
T:1.736	nS:9751	nE:85	nI:115	nP:0	nR:49	nF:0	node:[6207]	E -> I
