T:0.016	nS:9950	nE:0	nI:50	nR:0	nF:0	node:[2186]	S -> E
T:0.028	nS:9949	nE:1	nI:50	nR:0	nF:0	node:[9615]	S -> E
T:0.050	nS:9948	nE:2	nI:50	nR:0	nF:0	node:[659]	I -> R
T:0.090	nS:9948	nE:2	nI:49	nR:1	nF:0	node:[4929]	S -> E
T:0.113	nS:9947	nE:3	nI:49	nR:1	nF:0	node:[6921]	I -> R
T:0.172	nS:9947	nE:3	nI:48	nR:2	nF:0	node:[3337]	I -> R
T:0.210	nS:9947	nE:3	nI:47	nR:3	nF:0	node:[485]	S -> E
T:0.212	nS:9946	nE:4	nI:47	nR:3	nF:0	node:[755]	I -> R
T:0.396	nS:9946	nE:4	nI:46	nR:4	nF:0	node:[9225]	I -> R
T:0.414	nS:9946	nE:4	nI:45	nR:5	nF:0	node:[8717]	S -> E
T:0.415	nS:9945	nE:5	nI:45	nR:5	nF:0	node:[418]	S -> E
T:0.437	nS:9944	nE:6	nI:45	nR:5	nF:0	node:[1512]	S -> E
T:0.479	nS:9943	nE:7	nI:45	nR:5	nF:0	node:[312]	S -> E
T:0.505	nS:9942	nE:8	nI:45	nR:5	nF:0	node:[4851]	I -> R
T:0.545	nS:9942	nE:8	nI:44	nR:6	nF:0	node:[3219]	I -> R
T:0.550	nS:9942	nE:8	nI:43	nR:7	nF:0	node:[537]	I -> R
T:0.568	nS:9942	nE:8	nI:42	nR:8	nF:0	node:[5874]	I -> R
T:0.618	nS:9942	nE:8	nI:41	nR:9	nF:0	node:[9366]	S -> E
T:0.635	nS:9941	nE:9	nI:41	nR:9	nF:0	node:[3467]	S -> E
T:0.656	nS:9940	nE:10	nI:41	nR:9	nF:0	node:[4461]	S -> E
T:0.670	nS:9939	nE:11	nI:41	nR:9	nF:0	node:[8615]	I -> R
T:0.741	nS:9939	nE:11	nI:40	nR:10	nF:0	node:[6131]	S -> E
T:0.811	nS:9938	nE:12	nI:40	nR:10	nF:0	node:[3264]	I -> R
T:0.833	nS:9938	nE:12	nI:39	nR:11	nF:0	node:[6687]	I -> R
T:0.835	nS:9938	nE:12	nI:38	nR:12	nF:0	node:[2046]	I -> R
T:0.874	nS:9938	nE:12	nI:37	nR:13	nF:0	node:[5514]	S -> E
T:0.938	nS:9937	nE:13	nI:37	nR:13	nF:0	node:[7768]	I -> R
T:0.947	nS:9937	nE:13	nI:36	nR:14	nF:0	node:[8896]	S -> E
T:0.950	nS:9936	nE:14	nI:36	nR:14	nF:0	node:[8717]	E -> I
T:1.117	nS:9936	nE:13	nI:37	nR:14	nF:0	node:[797]	I -> R
T:1.141	nS:9936	nE:13	nI:36	nR:15	nF:0	node:[7221]	I -> R
T:1.141	nS:9936	nE:13	nI:35	nR:16	nF:0	node:[485]	E -> I
T:1.151	nS:9936	nE:12	nI:36	nR:16	nF:0	node:[2292]	I -> R
T:1.188	nS:9936	nE:12	nI:35	nR:17	nF:0	node:[8994]	I -> R
T:1.250	nS:9936	nE:12	nI:34	nR:18	nF:0	node:[6744]	I -> R
T:1.290	nS:9936	nE:12	nI:33	nR:19	nF:0	node:[4859]	I -> R
T:1.353	nS:9936	nE:12	nI:32	nR:20	nF:0	node:[7456]	I -> R
T:1.363	nS:9936	nE:12	nI:31	nR:21	nF:0	node:[2897]	I -> R
T:1.364	nS:9936	nE:12	nI:30	nR:22	nF:0	node:[9834]	S -> E
T:1.625	nS:9935	nE:13	nI:30	nR:22	nF:0	node:[6036]	I -> R
T:1.714	nS:9935	nE:13	nI:29	nR:23	nF:0	node:[1512]	E -> I
T:1.882	nS:9935	nE:12	nI:30	nR:23	nF:0	node:[9180]	S -> E
T:1.968	nS:9934	nE:13	nI:30	nR:23	nF:0	node:[9889]	S -> E
T:1.969	nS:9933	nE:14	nI:30	nR:23	nF:0	node:[2632]	S -> E
T:1.977	nS:9932	nE:15	nI:30	nR:23	nF:0	node:[4461]	E -> I
T:2.090	nS:9932	nE:14	nI:31	nR:23	nF:0	node:[2732]	I -> R
T:2.145	nS:9932	nE:14	nI:30	nR:24	nF:0	node:[2496]	I -> R
T:2.148	nS:9932	nE:14	nI:29	nR:25	nF:0	node:[4461]	I -> R
T:2.224	nS:9932	nE:14	nI:28	nR:26	nF:0	node:[8945]	S -> E
T:2.285	nS:9931	nE:15	nI:28	nR:26	nF:0	node:[6131]	E -> I
T:2.443	nS:9931	nE:14	nI:29	nR:26	nF:0	node:[1195]	S -> E
T:2.497	nS:9930	nE:15	nI:29	nR:26	nF:0	node:[3408]	S -> E
T:2.513	nS:9929	nE:16	nI:29	nR:26	nF:0	node:[3256]	S -> E
T:2.543	nS:9928	nE:17	nI:29	nR:26	nF:0	node:[3560]	I -> R
T:2.704	nS:9928	nE:17	nI:28	nR:27	nF:0	node:[2163]	I -> R
T:2.714	nS:9928	nE:17	nI:27	nR:28	nF:0	node:[2632]	E -> I
T:2.717	nS:9928	nE:16	nI:28	nR:28	nF:0	node:[8945]	E -> I
T:2.791	nS:9928	nE:15	nI:29	nR:28	nF:0	node:[1195]	E -> I
T:2.939	nS:9928	nE:14	nI:30	nR:28	nF:0	node:[6216]	I -> R
T:2.990	nS:9928	nE:14	nI:29	nR:29	nF:0	node:[9834]	E -> I
T:2.990	nS:9928	nE:13	nI:30	nR:29	nF:0	node:[9889]	E -> I
T:2.996	nS:9928	nE:12	nI:31	nR:29	nF:0	node:[2186]	E -> I
T:3.027	nS:9928	nE:11	nI:32	nR:29	nF:0	node:[6172]	I -> R
T:3.198	nS:9928	nE:11	nI:31	nR:30	nF:0	node:[8791]	S -> E
T:3.223	nS:9927	nE:12	nI:31	nR:30	nF:0	node:[3467]	E -> I
T:3.333	nS:9927	nE:11	nI:32	nR:30	nF:0	node:[1402]	S -> E
T:3.355	nS:9926	nE:12	nI:32	nR:30	nF:0	node:[3622]	I -> R
T:3.413	nS:9926	nE:12	nI:31	nR:31	nF:0	node:[6218]	S -> E
T:3.451	nS:9925	nE:13	nI:31	nR:31	nF:0	node:[2632]	I -> R
T:3.539	nS:9925	nE:13	nI:30	nR:32	nF:0	node:[1207]	I -> R
T:3.719	nS:9925	nE:13	nI:29	nR:33	nF:0	node:[9893]	I -> R
T:3.822	nS:9925	nE:13	nI:28	nR:34	nF:0	node:[4252]	S -> E
T:3.827	nS:9924	nE:14	nI:28	nR:34	nF:0	node:[3408]	E -> I
T:3.866	nS:9924	nE:13	nI:29	nR:34	nF:0	node:[485]	I -> R
T:3.931	nS:9924	nE:13	nI:28	nR:35	nF:0	node:[1871]	I -> R
T:4.008	nS:9924	nE:13	nI:27	nR:36	nF:0	node:[1402]	E -> I
T:4.059	nS:9924	nE:12	nI:28	nR:36	nF:0	node:[4252]	E -> I
T:4.062	nS:9924	nE:11	nI:29	nR:36	nF:0	node:[6131]	I -> R
T:4.065	nS:9924	nE:11	nI:28	nR:37	nF:0	node:[705]	I -> R
T:4.095	nS:9924	nE:11	nI:27	nR:38	nF:0	node:[9834]	I -> R
T:4.199	nS:9924	nE:11	nI:26	nR:39	nF:0	node:[8717]	I -> R
T:4.218	nS:9924	nE:11	nI:25	nR:40	nF:0	node:[9615]	E -> I
T:4.243	nS:9924	nE:10	nI:26	nR:40	nF:0	node:[3256]	E -> I
T:4.289	nS:9924	nE:9	nI:27	nR:40	nF:0	node:[4252]	I -> R
T:4.730	nS:9924	nE:9	nI:26	nR:41	nF:0	node:[8151]	S -> E
T:4.773	nS:9923	nE:10	nI:26	nR:41	nF:0	node:[1585]	S -> E
T:4.928	nS:9922	nE:11	nI:26	nR:41	nF:0	node:[3467]	I -> R
T:4.973	nS:9922	nE:11	nI:25	nR:42	nF:0	node:[8151]	E -> I
T:5.141	nS:9922	nE:10	nI:26	nR:42	nF:0	node:[1402]	I -> R
T:5.187	nS:9922	nE:10	nI:25	nR:43	nF:0	node:[8945]	I -> R
T:5.369	nS:9922	nE:10	nI:24	nR:44	nF:0	node:[4003]	S -> E
T:5.493	nS:9921	nE:11	nI:24	nR:44	nF:0	node:[1512]	I -> R
T:5.624	nS:9921	nE:11	nI:23	nR:45	nF:0	node:[4929]	E -> I
T:5.692	nS:9921	nE:10	nI:24	nR:45	nF:0	node:[1585]	E -> I
T:5.715	nS:9921	nE:9	nI:25	nR:45	nF:0	node:[8791]	E -> I
T:5.730	nS:9921	nE:8	nI:26	nR:45	nF:0	node:[312]	E -> I
T:5.765	nS:9921	nE:7	nI:27	nR:45	nF:0	node:[3408]	I -> R
T:5.946	nS:9921	nE:7	nI:26	nR:46	nF:0	node:[8825]	S -> E
T:6.026	nS:9920	nE:8	nI:26	nR:46	nF:0	node:[7691]	S -> E
T:6.056	nS:9919	nE:9	nI:26	nR:46	nF:0	node:[6042]	S -> E
T:6.069	nS:9918	nE:10	nI:26	nR:46	nF:0	node:[4327]	S -> E
T:6.200	nS:9917	nE:11	nI:26	nR:46	nF:0	node:[6088]	S -> E
T:6.322	nS:9916	nE:12	nI:26	nR:46	nF:0	node:[6246]	S -> E
T:6.474	nS:9915	nE:13	nI:26	nR:46	nF:0	node:[9942]	S -> E
T:6.479	nS:9914	nE:14	nI:26	nR:46	nF:0	node:[2232]	S -> E
T:6.649	nS:9913	nE:15	nI:26	nR:46	nF:0	node:[2232]	E -> I
T:6.778	nS:9913	nE:14	nI:27	nR:46	nF:0	node:[6246]	E -> I
T:6.889	nS:9913	nE:13	nI:28	nR:46	nF:0	node:[6752]	S -> E
T:6.987	nS:9912	nE:14	nI:28	nR:46	nF:0	node:[5978]	S -> E
T:7.088	nS:9911	nE:15	nI:28	nR:46	nF:0	node:[3362]	S -> E
T:7.174	nS:9910	nE:16	nI:28	nR:46	nF:0	node:[6236]	S -> E
T:7.279	nS:9909	nE:17	nI:28	nR:46	nF:0	node:[7455]	S -> E
T:7.425	nS:9908	nE:18	nI:28	nR:46	nF:0	node:[2815]	S -> E
T:7.493	nS:9907	nE:19	nI:28	nR:46	nF:0	node:[9445]	S -> E
T:7.524	nS:9906	nE:20	nI:28	nR:46	nF:0	node:[3247]	S -> E
T:7.552	nS:9905	nE:21	nI:28	nR:46	nF:0	node:[2428]	S -> E
T:7.570	nS:9904	nE:22	nI:28	nR:46	nF:0	node:[7599]	I -> R
T:7.718	nS:9904	nE:22	nI:27	nR:47	nF:0	node:[1585]	I -> R
T:7.976	nS:9904	nE:22	nI:26	nR:48	nF:0	node:[6246]	I -> R
T:8.030	nS:9904	nE:22	nI:25	nR:49	nF:0	node:[6745]	S -> E
T:8.391	nS:9903	nE:23	nI:25	nR:49	nF:0	node:[9845]	I -> R
T:8.401	nS:9903	nE:23	nI:24	nR:50	nF:0	node:[8791]	I -> R
T:8.472	nS:9903	nE:23	nI:23	nR:51	nF:0	node:[4145]	S -> E
