T:0.709	nS:9818	nQ:24	nE:31	nI:126	nP:2	nR:23	nF:0	node:[9086]	S -> E
T:0.715	nS:9817	nQ:24	nE:32	nI:126	nP:2	nR:23	nF:0	node:[4420]	I -> R
T:0.733	nS:9817	nQ:24	nE:32	nI:125	nP:2	nR:24	nF:0	node:[8176]	S -> E
T:0.734	nS:9816	nQ:24	nE:33	nI:125	nP:2	nR:24	nF:0	node:[8764]	S -> E
T:0.738	nS:9815	nQ:24	nE:34	nI:125	nP:2	nR:24	nF:0	node:[8717]	S -> E
T:0.742	nS:9814	nQ:24	nE:35	nI:125	nP:2	nR:24	nF:0	node:[8945]	S -> E
T:0.744	nS:9813	nQ:24	nE:36	nI:125	nP:2	nR:24	nF:0	node:[3347]	S -> E
T:0.747	nS:9812	nQ:24	nE:37	nI:125	nP:2	nR:24	nF:0	node:[9225]	I -> R
T:0.750	nS:9812	nQ:24	nE:37	nI:124	nP:2	nR:25	nF:0	node:[9781]	I -> R
T:0.814	nS:9812	nQ:24	nE:37	nI:123	nP:2	nR:26	nF:0	node:[4904]	S -> E
T:0.825	nS:9811	nQ:24	nE:38	nI:123	nP:2	nR:26	nF:0	node:[7672]	S -> E
T:0.839	nS:9810	nQ:24	nE:39	nI:123	nP:2	nR:26	nF:0	node:[7147]	S -> E
T:0.864	nS:9809	nQ:24	nE:40	nI:123	nP:2	nR:26	nF:0	node:[9359]	I -> R
T:0.870	nS:9809	nQ:24	nE:40	nI:122	nP:2	nR:27	nF:0	node:[6250]	S -> E
T:0.873	nS:9808	nQ:24	nE:41	nI:122	nP:2	nR:27	nF:0	node:[7397]	S -> E
T:0.885	nS:9807	nQ:24	nE:42	nI:122	nP:2	nR:27	nF:0	node:[7201]	S -> E
T:0.899	nS:9806	nQ:24	nE:43	nI:122	nP:2	nR:27	nF:0	node:[3762]	I -> R
T:0.912	nS:9806	nQ:24	nE:43	nI:121	nP:2	nR:28	nF:0	node:[8372]	I -> P
T:0.920	nS:9806	nQ:31	nE:43	nI:120	nP:3	nR:28	nF:0	node:[5669]	S -> E
T:0.921	nS:9805	nQ:31	nE:44	nI:120	nP:3	nR:28	nF:0	node:[4596]	S -> E
T:0.926	nS:9804	nQ:31	nE:45	nI:120	nP:3	nR:28	nF:0	node:[4939]	I -> R
T:0.929	nS:9804	nQ:31	nE:45	nI:119	nP:3	nR:29	nF:0	node:[5368]	I -> R
T:0.957	nS:9804	nQ:31	nE:45	nI:118	nP:3	nR:30	nF:0	node:[4751]	S -> E
T:0.964	nS:9803	nQ:31	nE:46	nI:118	nP:3	nR:30	nF:0	node:[8846]	S -> E
T:0.972	nS:9802	nQ:31	nE:47	nI:118	nP:3	nR:30	nF:0	node:[8525]	S -> E
T:0.980	nS:9801	nQ:31	nE:48	nI:118	nP:3	nR:30	nF:0	node:[8285]	S -> E
T:0.982	nS:9800	nQ:31	nE:49	nI:118	nP:3	nR:30	nF:0	node:[8161]	S -> E
T:0.984	nS:9799	nQ:31	nE:50	nI:118	nP:3	nR:30	nF:0	node:[9626]	S -> E
T:1.013	nS:9798	nQ:31	nE:51	nI:118	nP:3	nR:30	nF:0	node:[755]	I -> R
T:1.015	nS:9798	nQ:31	nE:51	nI:117	nP:3	nR:31	nF:0	node:[1207]	I -> P
T:1.047	nS:9798	nQ:44	nE:51	nI:116	nP:4	nR:31	nF:0	node:[160]	S -> E
T:1.049	nS:9797	nQ:44	nE:52	nI:116	nP:4	nR:31	nF:0	node:[2464]	S -> E
T:1.052	nS:9796	nQ:44	nE:53	nI:116	nP:4	nR:31	nF:0	node:[7877]	I -> R
T:1.060	nS:9796	nQ:44	nE:53	nI:115	nP:4	nR:32	nF:0	node:[9084]	S -> E
T:1.062	nS:9795	nQ:44	nE:54	nI:115	nP:4	nR:32	nF:0	node:[9496]	S -> E
T:1.072	nS:9794	nQ:44	nE:55	nI:115	nP:4	nR:32	nF:0	node:[3129]	S -> E
T:1.081	nS:9793	nQ:44	nE:56	nI:115	nP:4	nR:32	nF:0	node:[3918]	I -> R
T:1.104	nS:9793	nQ:44	nE:56	nI:114	nP:4	nR:33	nF:0	node:[2671]	S -> E
T:1.109	nS:9792	nQ:44	nE:57	nI:114	nP:4	nR:33	nF:0	node:[2464]	E -> I
T:1.122	nS:9792	nQ:44	nE:56	nI:115	nP:4	nR:33	nF:0	node:[2722]	S -> E
T:1.145	nS:9791	nQ:44	nE:57	nI:115	nP:4	nR:33	nF:0	node:[2382]	S -> E
T:1.151	nS:9790	nQ:44	nE:58	nI:115	nP:4	nR:33	nF:0	node:[1673]	S -> E
T:1.152	nS:9789	nQ:44	nE:59	nI:115	nP:4	nR:33	nF:0	node:[1521]	S -> E
T:1.155	nS:9788	nQ:44	nE:60	nI:115	nP:4	nR:33	nF:0	node:[6687]	I -> P
T:1.165	nS:9788	nQ:55	nE:60	nI:114	nP:5	nR:33	nF:0	node:[9329]	S -> E
T:1.172	nS:9787	nQ:55	nE:61	nI:114	nP:5	nR:33	nF:0	node:[2344]	I -> P
T:1.175	nS:9787	nQ:70	nE:61	nI:113	nP:6	nR:33	nF:0	node:[3455]	I -> P
T:1.190	nS:9787	nQ:85	nE:61	nI:112	nP:7	nR:33	nF:0	node:[4512]	S -> E
T:1.198	nS:9786	nQ:85	nE:62	nI:112	nP:7	nR:33	nF:0	node:[8622]	I -> R
T:1.227	nS:9786	nQ:85	nE:62	nI:111	nP:7	nR:34	nF:0	node:[8846]	E -> I
T:1.229	nS:9786	nQ:85	nE:61	nI:112	nP:7	nR:34	nF:0	node:[2978]	S -> E
T:1.229	nS:9785	nQ:85	nE:62	nI:112	nP:7	nR:34	nF:0	node:[1589]	S -> E
