T:0.001	nS:9950	nE:0	nI:50	nR:0	nF:0	node:[8717]	S -> E
T:0.014	nS:9949	nE:1	nI:50	nR:0	nF:0	node:[1428]	S -> E
T:0.057	nS:9948	nE:2	nI:50	nR:0	nF:0	node:[1871]	I -> R
T:0.063	nS:9948	nE:2	nI:49	nR:1	nF:0	node:[659]	I -> R
T:0.088	nS:9948	nE:2	nI:48	nR:2	nF:0	node:[6744]	I -> R
T:0.125	nS:9948	nE:2	nI:47	nR:3	nF:0	node:[117]	S -> E
T:0.143	nS:9947	nE:3	nI:47	nR:3	nF:0	node:[2599]	I -> R
T:0.178	nS:9947	nE:3	nI:46	nR:4	nF:0	node:[2109]	S -> E
T:0.226	nS:9946	nE:4	nI:46	nR:4	nF:0	node:[1428]	E -> I
T:0.236	nS:9946	nE:3	nI:47	nR:4	nF:0	node:[2897]	I -> R
T:0.242	nS:9946	nE:3	nI:46	nR:5	nF:0	node:[7456]	I -> R
T:0.329	nS:9946	nE:3	nI:45	nR:6	nF:0	node:[705]	I -> R
T:0.386	nS:9946	nE:3	nI:44	nR:7	nF:0	node:[6216]	I -> R
T:0.453	nS:9946	nE:3	nI:43	nR:8	nF:0	node:[6042]	S -> E
T:0.511	nS:9945	nE:4	nI:43	nR:8	nF:0	node:[8615]	I -> R
T:0.517	nS:9945	nE:4	nI:42	nR:9	nF:0	node:[8896]	S -> E
T:0.530	nS:9944	nE:5	nI:42	nR:9	nF:0	node:[6687]	I -> R
T:0.535	nS:9944	nE:5	nI:41	nR:10	nF:0	node:[8945]	S -> E
T:0.570	nS:9943	nE:6	nI:41	nR:10	nF:0	node:[1169]	S -> E
T:0.622	nS:9942	nE:7	nI:41	nR:10	nF:0	node:[2732]	I -> R
T:0.631	nS:9942	nE:7	nI:40	nR:11	nF:0	node:[1512]	S -> E
T:0.668	nS:9941	nE:8	nI:40	nR:11	nF:0	node:[8791]	S -> E
T:0.758	nS:9940	nE:9	nI:40	nR:11	nF:0	node:[1716]	S -> E
T:0.800	nS:9939	nE:10	nI:40	nR:11	nF:0	node:[6172]	I -> R
T:0.833	nS:9939	nE:10	nI:39	nR:12	nF:0	node:[797]	I -> R
T:0.918	nS:9939	nE:10	nI:38	nR:13	nF:0	node:[6131]	S -> E
T:1.048	nS:9938	nE:11	nI:38	nR:13	nF:0	node:[6973]	S -> E
T:1.122	nS:9937	nE:12	nI:38	nR:13	nF:0	node:[1036]	S -> E
T:1.204	nS:9936	nE:13	nI:38	nR:13	nF:0	node:[3264]	I -> R
T:1.265	nS:9936	nE:13	nI:37	nR:14	nF:0	node:[755]	I -> R
T:1.332	nS:9936	nE:13	nI:36	nR:15	nF:0	node:[25]	S -> E
T:1.393	nS:9935	nE:14	nI:36	nR:15	nF:0	node:[9563]	S -> E
T:1.406	nS:9934	nE:15	nI:36	nR:15	nF:0	node:[2516]	S -> E
T:1.497	nS:9933	nE:16	nI:36	nR:15	nF:0	node:[3622]	I -> R
