T:0.015	nS:9950	nE:0	nI:50	nR:0	nF:0	node:[9825]	S -> E
T:0.061	nS:9949	nE:1	nI:50	nR:0	nF:0	node:[2897]	I -> R
T:0.191	nS:9949	nE:1	nI:49	nR:1	nF:0	node:[2599]	I -> R
T:0.263	nS:9949	nE:1	nI:48	nR:2	nF:0	node:[5524]	S -> E
T:0.310	nS:9948	nE:2	nI:48	nR:2	nF:0	node:[8707]	S -> E
T:0.311	nS:9947	nE:3	nI:48	nR:2	nF:0	node:[2442]	S -> E
T:0.399	nS:9946	nE:4	nI:48	nR:2	nF:0	node:[3467]	S -> E
T:0.437	nS:9945	nE:5	nI:48	nR:2	nF:0	node:[1643]	S -> E
T:0.543	nS:9944	nE:6	nI:48	nR:2	nF:0	node:[1471]	S -> E
T:0.622	nS:9943	nE:7	nI:48	nR:2	nF:0	node:[6172]	I -> R
T:0.736	nS:9943	nE:7	nI:47	nR:3	nF:0	node:[1140]	S -> E
T:0.737	nS:9942	nE:8	nI:47	nR:3	nF:0	node:[9225]	I -> R
T:0.763	nS:9942	nE:8	nI:46	nR:4	nF:0	node:[1013]	S -> E
T:0.829	nS:9941	nE:9	nI:46	nR:4	nF:0	node:[6131]	S -> E
T:0.942	nS:9940	nE:10	nI:46	nR:4	nF:0	node:[1013]	E -> I
T:1.088	nS:9940	nE:9	nI:47	nR:4	nF:0	node:[1013]	I -> R
T:1.160	nS:9940	nE:9	nI:46	nR:5	nF:0	node:[1716]	S -> E
T:1.189	nS:9939	nE:10	nI:46	nR:5	nF:0	node:[6835]	S -> E
T:1.211	nS:9938	nE:11	nI:46	nR:5	nF:0	node:[3560]	I -> R
T:1.279	nS:9938	nE:11	nI:45	nR:6	nF:0	node:[1871]	I -> R
T:1.500	nS:9938	nE:11	nI:44	nR:7	nF:0	node:[117]	S -> E
T:1.522	nS:9937	nE:12	nI:44	nR:7	nF:0	node:[4735]	I -> R
T:1.524	nS:9937	nE:12	nI:43	nR:8	nF:0	node:[797]	I -> R
T:1.556	nS:9937	nE:12	nI:42	nR:9	nF:0	node:[5951]	S -> E
T:1.559	nS:9936	nE:13	nI:42	nR:9	nF:0	node:[7221]	I -> R
T:1.581	nS:9936	nE:13	nI:41	nR:10	nF:0	node:[6687]	I -> R
T:1.641	nS:9936	nE:13	nI:40	nR:11	nF:0	node:[2163]	I -> R
T:1.650	nS:9936	nE:13	nI:39	nR:12	nF:0	node:[4859]	I -> R
T:1.699	nS:9936	nE:13	nI:38	nR:13	nF:0	node:[3264]	I -> R
T:1.762	nS:9936	nE:13	nI:37	nR:14	nF:0	node:[750]	S -> E
T:1.850	nS:9935	nE:14	nI:37	nR:14	nF:0	node:[750]	E -> I
T:1.881	nS:9935	nE:13	nI:38	nR:14	nF:0	node:[2661]	S -> E
T:1.962	nS:9934	nE:14	nI:38	nR:14	nF:0	node:[2046]	I -> R
T:2.001	nS:9934	nE:14	nI:37	nR:15	nF:0	node:[3219]	I -> R
T:2.060	nS:9934	nE:14	nI:36	nR:16	nF:0	node:[2442]	E -> I
T:2.120	nS:9934	nE:13	nI:37	nR:16	nF:0	node:[6744]	I -> R
T:2.145	nS:9934	nE:13	nI:36	nR:17	nF:0	node:[8343]	I -> R
T:2.170	nS:9934	nE:13	nI:35	nR:18	nF:0	node:[2963]	S -> E
T:2.180	nS:9933	nE:14	nI:35	nR:18	nF:0	node:[2292]	I -> R
T:2.336	nS:9933	nE:14	nI:34	nR:19	nF:0	node:[6216]	I -> R
T:2.379	nS:9933	nE:14	nI:33	nR:20	nF:0	node:[1521]	S -> E
T:2.406	nS:9932	nE:15	nI:33	nR:20	nF:0	node:[3622]	I -> R
T:2.417	nS:9932	nE:15	nI:32	nR:21	nF:0	node:[7599]	I -> R
T:2.769	nS:9932	nE:15	nI:31	nR:22	nF:0	node:[3468]	I -> R
T:2.910	nS:9932	nE:15	nI:30	nR:23	nF:0	node:[1428]	S -> E
T:3.039	nS:9931	nE:16	nI:30	nR:23	nF:0	node:[6021]	I -> R
T:3.160	nS:9931	nE:16	nI:29	nR:24	nF:0	node:[8615]	I -> R
T:3.189	nS:9931	nE:16	nI:28	nR:25	nF:0	node:[8556]	S -> E
T:3.229	nS:9930	nE:17	nI:28	nR:25	nF:0	node:[9942]	S -> E
T:3.235	nS:9929	nE:18	nI:28	nR:25	nF:0	node:[537]	I -> R
T:3.282	nS:9929	nE:18	nI:27	nR:26	nF:0	node:[1643]	E -> I
